wine type;fixed acidity;volatile acidity;citric acid;residual sugar;magnesium;flavanoids;minerals;calcium;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
Merlot;7.6;0.2;0.3;14.2;66.30502529369242;1232.22;235.5750252936924;169.27;0.056;53.0;212.5;0.999;3.14;0.46;8.9;8
Chardonnay;5.8;0.28;0.28;4.2;88.05368739445855;568.88;457.98368739445857;369.93;0.044;52.0;158.0;0.992;3.35;0.44;10.7;7
Pinot noir;6.7;0.25;0.74;19.4;2.272609670004977;701.6;323.48260967000493;321.21;0.054;44.0;169.0;1.0004;3.51;0.45;9.8;6
Pinot noir;7.0;0.2;0.74;0.8;38.0344685914113;797.54;267.9544685914113;229.92;0.044;19.0;163.0;0.9931;3.46;0.53;10.2;5
Cabernet Sauvignon;9.7;0.24;0.49;4.9;82.35858795242149;883.34;255.36858795242148;173.01;0.032;3.0;18.0;0.99368;2.85;0.54;10.0;6
Merlot;5.1;0.33;0.27;6.7;9.574262833586689;105.4;203.5942628335867;194.02;0.022;44.0;129.0;0.99221;3.36;0.39;11.0;7
Cabernet Sauvignon;6.2;0.37;0.22;8.3;0.6465295377123925;1218.04;180.3665295377124;179.72;0.025;36.0;216.0;0.9964;3.33;0.6;9.6;6
Pinot noir;10.7;0.22;0.56;8.2;14.650435614077374;1045.73;282.92043561407735;268.27;0.044;37.0;181.0;0.998;2.87;0.68;9.5;6
Chardonnay;7.3;0.26;0.36;5.2;95.3525169136446;1057.0;323.87251691364463;228.52;0.04;31.0;141.0;0.9931;3.16;0.59;11.0;6
Cabernet Sauvignon;6.3;0.2;0.24;1.7;63.58771486967088;792.99;344.3377148696709;280.75;0.052;36.0;135.0;0.99374;3.8;0.66;10.8;6
Cabernet Sauvignon;6.2;0.25;0.47;11.6;81.53826846351282;680.31;414.0682684635128;332.53;0.048;62.0;210.0;0.9968;3.19;0.5;9.5;5
Gamay;6.15;0.21;0.37;3.2;29.384679552717973;1116.19;293.484679552718;264.1;0.021;20.0;80.0;0.99076;3.39;0.47;12.0;1
Cabernet Sauvignon;5.7;0.21;0.32;1.6;95.90292234956377;860.13;253.09292234956376;157.19;0.03;33.0;122.0;0.99044;3.33;0.52;11.9;6
Cabernet Sauvignon;6.0;0.27;0.32;3.6;20.288727202272728;1002.57;203.25872720227272;182.97;0.035;36.0;133.0;0.99215;3.23;0.46;10.8;6
Chardonnay;7.3;0.25;0.26;7.2;28.795145878309786;857.53;316.75514587830975;287.96;0.048;52.0;207.0;0.99587;3.12;0.37;9.2;5
Merlot;6.6;0.2;0.14;4.4;39.73136893868944;1126.88;272.23136893868946;232.5;0.184;35.0;168.0;0.99396;2.93;0.45;9.4;6
Cabernet Sauvignon;6.8;0.28;0.44;11.5;6.923487901242476;1376.66;117.50348790124248;110.58;0.04;58.0;223.0;0.9969;3.22;0.56;9.5;5
Pinot noir;6.4;0.22;0.34;1.8;35.94892427857941;826.31;336.8789242785794;300.93;0.057;29.0;104.0;0.9959;3.81;0.57;10.3;6
Cabernet Sauvignon;5.7;0.25;0.22;9.8;34.59006558605402;1096.31;150.280065586054;115.69;0.049;50.0;125.0;0.99571;3.2;0.45;10.1;6
Merlot;6.5;0.26;0.32;6.65;33.58431891659954;541.57;340.7043189165996;307.12;0.059;34.0;104.0;0.99254;3.18;0.42;11.1;5
Merlot;7.7;0.35;0.49;8.65;1.2031958676337884;1250.78;179.83319586763378;178.63;0.033;42.0;186.0;0.9931;3.14;0.38;12.4;8
Cabernet Sauvignon;7.4;0.25;0.36;13.2;29.516191638757785;1200.8;302.0661916387578;272.55;0.067;53.0;178.0;0.9976;3.01;0.48;9.0;6
Merlot;5.3;0.6;0.34;1.4;73.45037277841226;807.71;384.2303727784122;310.78;0.031;3.0;60.0;0.98854;3.27;0.38;13.0;6
Cabernet Sauvignon;7.6;0.31;0.27;8.8;23.473815738714087;1348.58;284.4738157387141;261.0;0.021;57.0;156.0;0.99442;3.08;0.38;11.0;7
Pinot noir;8.0;0.57;0.39;3.9;14.453776484805314;950.51;188.3737764848053;173.92;0.034;22.0;122.0;0.9917;3.29;0.67;12.8;7
Chardonnay;6.8;0.15;0.33;4.7;56.756472036710704;1073.4;250.1864720367107;193.43;0.059;31.0;118.0;0.9956;3.43;0.39;9.0;7
Pinot noir;6.6;0.26;0.25;11.6;38.073529771451255;1019.44;289.57352977145126;251.5;0.045;45.0;178.0;0.99691;3.33;0.43;9.8;6
Chardonnay;6.3;0.18;0.22;5.6;69.63561749567052;919.33;282.8156174956705;213.18;0.047;45.0;147.0;0.99383;3.09;0.54;10.0;5
Merlot;5.6;0.23;0.25;8.0;99.09715759233254;1168.34;356.8871575923325;257.79;0.043;31.0;101.0;0.99429;3.19;0.42;10.4;6
Pinot noir;7.3;0.21;0.3;10.9;99.67994816270108;971.17;375.769948162701;276.09;0.037;18.0;112.0;0.997;3.4;0.5;9.6;6
Chardonnay;7.4;0.18;0.27;1.3;39.38805208824037;675.94;392.6380520882404;353.25;0.048;26.0;105.0;0.994;3.52;0.66;10.6;6
Cabernet Sauvignon;6.4;0.3;0.33;5.2;80.29431160459072;790.95;427.5643116045906;347.27;0.05;30.0;137.0;0.99304;3.26;0.58;11.1;5
Pinot noir;6.3;0.41;0.16;0.9;62.1940821143986;985.44;296.2540821143986;234.06;0.032;25.0;98.0;0.99274;3.16;0.42;9.5;5
Chardonnay;6.9;0.19;0.35;5.0;77.58367205151255;603.46;335.14367205151257;257.56;0.067;32.0;150.0;0.995;3.36;0.48;9.8;5
Chardonnay;5.8;0.13;0.22;12.7;87.23270646968435;1200.7;231.48270646968436;144.25;0.058;24.0;183.0;0.9956;3.32;0.42;11.7;6
Chardonnay;6.3;0.48;0.04;1.1;57.573276226294126;639.97;219.8432762262941;162.27;0.046;30.0;99.0;0.9928;3.24;0.36;9.6;6
Cabernet Sauvignon;6.9;0.38;0.38;13.1;16.103664141052455;1065.92;330.07366414105246;313.97;0.112;14.0;94.0;0.99792;3.02;0.48;9.2;5
Pinot noir;6.7;0.37;0.41;6.3;44.154360840842735;1169.02;290.5743608408427;246.42;0.061;22.0;149.0;0.9953;3.16;0.47;9.6;6
Cabernet Sauvignon;5.9;0.22;0.3;1.3;23.263257556213148;1119.74;272.07325755621315;248.81;0.052;42.0;86.0;0.99069;3.31;0.47;11.55;6
Merlot;6.2;0.16;0.33;1.1;42.286366286352006;658.02;270.80636628635204;228.52;0.057;21.0;82.0;0.991;3.32;0.46;10.9;7
Chardonnay;6.4;0.41;0.24;14.0;41.677672914193664;573.86;263.16767291419364;221.49;0.048;24.0;113.0;0.9982;3.44;0.53;9.8;6
Merlot;6.4;0.31;0.39;7.5;18.247025297003315;742.81;319.2470252970033;301.0;0.04;57.0;213.0;0.99475;3.32;0.43;10.0;5
Pinot noir;6.5;0.19;0.32;1.4;48.71738128673472;1091.67;333.7273812867347;285.01;0.04;31.0;132.0;0.9922;3.36;0.54;10.8;7
Merlot;7.6;0.37;0.34;3.2;1.8019980200385977;864.71;294.9719980200386;293.17;0.028;42.0;162.0;0.9903;3.01;0.33;12.4;6
Chardonnay;6.9;0.19;0.38;1.15;10.159430032678683;955.16;105.64943003267868;95.49;0.023;30.0;105.0;0.99047;3.11;0.38;11.4;5
Cabernet Sauvignon;6.7;0.24;0.31;2.3;80.02875411042753;867.26;255.51875411042755;175.49;0.044;37.0;113.0;0.99013;3.29;0.46;12.9;6
Pinot noir;7.6;0.2;0.36;1.9;96.63066576366109;870.44;425.9806657636611;329.35;0.043;24.0;111.0;0.99237;3.29;0.54;11.3;6
Cabernet Sauvignon;5.7;0.26;0.27;4.1;1.7305231303594848;305.34;224.06052313035948;222.33;0.201;73.5;189.5;0.9942;3.27;0.38;9.4;6
Chardonnay;7.5;0.305;0.38;1.4;20.491911362081197;615.39;239.6019113620812;219.11;0.047;30.0;95.0;0.99158;3.22;0.52;11.5;7
Cabernet Sauvignon;6.3;0.32;0.26;12.3;68.18206518107583;631.7;325.90206518107584;257.72;0.044;24.0;205.0;0.99611;3.11;0.58;9.9;5
Pinot noir;6.8;0.21;0.42;1.2;16.383117879735487;783.89;265.0031178797355;248.62;0.045;24.0;126.0;0.99234;3.09;0.87;10.9;6
Pinot noir;6.8;0.43;0.3;3.5;36.80639610681487;1068.44;345.0963961068149;308.29;0.033;27.0;135.0;0.9906;3.0;0.37;12.0;6
Chardonnay;7.6;0.27;0.42;2.6;90.42489771684468;724.08;487.9048977168447;397.48;0.044;29.0;110.0;0.9912;3.31;0.51;12.7;6
Merlot;7.4;0.16;0.27;15.5;32.67588863168742;731.55;320.53588863168744;287.86;0.05;25.0;135.0;0.9984;2.9;0.43;8.7;7
Cabernet Sauvignon;6.3;0.35;0.3;5.7;36.72722332140064;1131.32;254.70722332140065;217.98;0.035;8.0;97.0;0.9927;3.27;0.41;11.0;7
Pinot noir;8.4;0.18;0.42;5.1;9.582533212358523;932.43;232.8225332123585;223.24;0.036;7.0;77.0;0.9939;3.16;0.52;11.7;5
Pinot noir;6.1;0.6;0.12;1.8;31.614841690219176;855.44;286.1348416902192;254.52;0.05;11.0;76.0;0.99268;3.42;0.48;10.4;4
Pinot noir;8.2;0.38;0.49;13.6;99.79443339381828;579.11;385.7444333938183;285.95;0.042;58.0;166.0;0.99855;3.1;0.54;9.4;5
Gamay;7.1;0.22;0.33;2.8;1.5936097070067046;1149.79;124.8636097070067;123.27;0.033;48.0;153.0;0.9899;3.15;0.38;12.7;2
Cabernet Sauvignon;6.2;0.25;0.21;15.55;49.94351951313599;1102.74;314.873519513136;264.93;0.039;28.0;159.0;0.9982;3.48;0.64;9.6;6
Chardonnay;6.5;0.28;0.29;2.7;87.5655615562747;947.37;204.17556155627472;116.61;0.038;26.0;107.0;0.9912;3.32;0.41;11.6;7
Gamay;7.6;0.19;0.32;18.75;48.741900619820655;969.51;375.2919006198207;326.55;0.047;32.0;193.0;1.00014;3.1;0.5;9.3;2
Chardonnay;9.0;0.24;0.5;1.2;39.11823423940722;1350.14;267.2182342394072;228.1;0.048;26.0;107.0;0.9918;3.21;0.34;12.4;6
Pinot noir;6.0;0.29;0.41;10.8;98.98990928397336;1152.64;370.0399092839734;271.05;0.048;55.0;149.0;0.9937;3.09;0.59;10.9666666666667;7
Pinot noir;6.6;0.15;0.34;1.0;48.32984555102816;1413.46;358.07984555102814;309.75;0.037;45.0;79.0;0.98949;2.96;0.5;11.7;6
Cabernet Sauvignon;6.9;0.34;0.36;1.4;50.28063789048415;561.64;229.87063789048412;179.59;0.032;13.0;145.0;0.99214;3.07;0.52;9.8;5
Merlot;8.0;0.2;0.36;1.2;8.766735478792697;921.87;149.1967354787927;140.43;0.032;21.0;78.0;0.9921;3.08;0.37;10.4;6
Cabernet Sauvignon;7.0;0.44;0.24;12.1;50.86143283515945;1050.19;278.4714328351595;227.61;0.056;68.0;210.0;0.99718;3.05;0.5;9.5;5
Cabernet Sauvignon;6.0;0.17;0.3;7.3;53.03468432732716;997.74;484.7446843273272;431.71;0.039;39.0;104.0;0.99252;2.91;0.57;11.0;6
Merlot;6.4;0.15;0.29;1.8;72.95346235810845;920.21;404.3134623581085;331.36;0.044;21.0;115.0;0.99166;3.1;0.38;10.2;5
Chardonnay;8.1;0.45;0.34;8.3;35.23011692248846;1519.08;340.89011692248846;305.66;0.037;33.0;216.0;0.9976;3.31;0.64;9.7;5
Pinot noir;6.3;0.18;0.22;1.5;3.271348415355091;1261.86;281.9513484153551;278.68;0.043;45.0;155.0;0.99238;3.19;0.48;10.2;5
Merlot;7.2;0.6;0.2;9.9;59.02369103803993;1145.71;230.59369103803996;171.57;0.07;21.0;174.0;0.9971;3.03;0.54;9.1;5
Chardonnay;7.3;0.21;0.29;1.6;84.13068290755156;849.82;399.96068290755153;315.83;0.034;29.0;118.0;0.9917;3.3;0.5;11.0;8
Cabernet Sauvignon;6.5;0.33;0.38;2.5;75.39125983646967;895.68;300.26125983646966;224.87;0.047;30.0;148.0;0.98964;3.17;0.43;12.7;6
Pinot noir;7.1;0.31;0.5;14.5;52.799611619061146;906.3;239.6296116190612;186.83;0.059;6.0;148.0;0.9983;2.94;0.44;9.1;5
Chardonnay;6.0;0.26;0.42;5.2;71.84122304645186;1125.32;359.75122304645186;287.91;0.027;70.0;178.0;0.9914;3.4;0.4;12.3;8
Cabernet Sauvignon;6.6;0.3;0.24;1.2;98.03322519107476;441.26;428.3032251910747;330.27;0.034;17.0;121.0;0.9933;3.13;0.36;9.2;5
Gamay;6.6;0.22;0.37;15.4;52.1946210721598;932.46;225.1046210721598;172.91;0.035;62.0;153.0;0.99845;3.02;0.4;9.3;1
Chardonnay;6.9;0.21;0.81;1.1;36.12042014856459;1162.53;210.5304201485646;174.41;0.137;52.0;123.0;0.9932;3.03;0.39;9.2;6
Chardonnay;5.6;0.16;0.27;1.4;1.859441620598301;992.86;169.67944162059828;167.82;0.044;53.0;168.0;0.9918;3.28;0.37;10.1;6
Pinot noir;6.7;0.19;0.39;1.0;99.82908271420996;1059.36;293.16908271421;193.34;0.032;14.0;71.0;0.98912;3.31;0.38;13.0;7
Chardonnay;9.0;0.22;0.49;10.4;12.27747602169128;1363.77;206.2674760216913;193.99;0.048;52.0;195.0;0.9987;3.31;0.44;10.2;6
Pinot noir;9.2;0.34;0.27;1.2;88.75881674864003;854.49;257.00881674864;168.25;0.026;17.0;73.0;0.9921;3.08;0.39;10.8;5
Gamay;6.9;0.33;0.26;5.0;70.17359627621873;783.51;330.3835962762187;260.21;0.027;46.0;143.0;0.9924;3.25;0.43;11.2;2
Pinot noir;7.0;0.35;0.31;1.8;0.2811817666878324;817.99;296.58118176668785;296.3;0.069;15.0;162.0;0.9944;3.18;0.47;9.4;5
Pinot noir;7.2;0.24;0.28;1.9;82.93335978833491;794.15;408.7433597883349;325.81;0.032;30.0;92.0;0.9914;3.1;0.39;10.9;6
Cabernet Sauvignon;9.7;0.24;0.49;4.9;70.15270764919902;980.32;302.052707649199;231.9;0.032;3.0;18.0;0.99368;2.85;0.54;10.0;6
Cabernet Sauvignon;5.8;0.3;0.09;6.3;93.09214450876452;855.7;260.9221445087645;167.83;0.042;36.0;138.0;0.99382;3.15;0.48;9.7;5
Pinot noir;6.1;0.4;0.18;9.0;39.6184637690204;809.39;311.21846376902045;271.6;0.051;28.5;259.0;0.9964;3.19;0.5;8.8;5
Chardonnay;6.8;0.28;0.36;7.0;29.00721771195095;851.83;150.23721771195096;121.23;0.043;60.0;207.0;0.99556;3.16;0.49;9.6;6
Cabernet Sauvignon;6.0;0.19;0.37;9.7;18.96571198880173;1149.29;335.70571198880174;316.74;0.032;17.0;50.0;0.9932;3.08;0.66;12.0;6
Chardonnay;7.5;0.21;0.68;10.9;12.888581982521474;672.69;202.51858198252148;189.63;0.045;38.0;133.0;0.9978;3.0;0.36;8.7;5
Chardonnay;7.0;0.4;0.25;1.8;50.94684409314968;1177.8;148.23684409314967;97.29;0.05;51.0;189.0;0.99174;3.0;0.55;11.4;6
Merlot;6.4;0.45;0.07;1.1;52.74820817633545;853.22;213.22820817633544;160.48;0.03;10.0;131.0;0.9905;2.97;0.28;10.8;5
Pinot noir;6.3;0.34;0.28;14.7;94.2819137110062;989.92;312.80191371100625;218.52;0.047;49.0;198.0;0.9977;3.23;0.46;9.5;5
Pinot noir;9.8;0.42;0.48;9.85;21.79441373898521;706.19;129.2344137389852;107.44;0.034;5.0;110.0;0.9958;2.87;0.29;10.0;5
Merlot;8.4;0.18;0.42;5.1;74.54441138999958;816.78;365.3044113899996;290.76;0.036;7.0;77.0;0.9939;3.16;0.52;11.7;5
Merlot;5.8;0.27;0.22;12.7;56.67157717936257;1071.98;221.82157717936255;165.15;0.058;42.0;206.0;0.9946;3.32;0.38;12.3;6
Pinot noir;7.3;0.22;0.37;14.3;46.49947390481458;1231.6;228.17947390481456;181.68;0.063;48.0;191.0;0.9978;2.89;0.38;9.0;6
Cabernet Sauvignon;7.5;0.32;0.26;1.8;52.13351361894295;1360.35;184.96351361894293;132.83;0.042;13.0;133.0;0.9938;3.07;0.38;9.5;5
Chardonnay;6.3;0.26;0.42;7.1;42.131624117275344;839.23;201.85162411727532;159.72;0.045;62.0;209.0;0.99544;3.2;0.53;9.5;6
Chardonnay;7.1;0.18;0.32;12.2;16.217483052277736;980.48;185.1274830522777;168.91;0.048;36.0;125.0;0.9967;2.92;0.54;9.4;6
Gamay;7.6;0.2;0.34;1.8;3.5416308400980645;781.99;270.811630840098;267.27;0.041;42.0;148.0;0.99335;3.35;0.66;11.1;2
Chardonnay;7.1;0.44;0.23;5.8;16.146551149029385;806.51;236.90655114902935;220.76;0.035;24.0;100.0;0.99062;3.15;0.57;13.2;7
Merlot;7.2;0.37;0.4;11.6;91.51294741232944;823.03;406.2229474123294;314.71;0.032;34.0;214.0;0.9963;3.1;0.51;9.8;6
Cabernet Sauvignon;6.4;0.35;0.21;2.1;71.85242695991451;594.99;249.8124269599145;177.96;0.051;46.0;171.0;0.9932;3.16;0.5;9.5;5
Chardonnay;6.8;0.43;0.26;5.2;47.042487882802696;875.78;308.0124878828027;260.97;0.043;40.0;176.0;0.99116;3.17;0.41;12.3;6
Cabernet Sauvignon;6.8;0.25;0.24;4.55;77.59371971549508;1209.21;214.71371971549507;137.12;0.053;41.0;211.0;0.9955;3.37;0.67;9.5;6
Chardonnay;8.4;0.58;0.27;12.15;21.428648386865863;1144.76;231.11864838686583;209.69;0.033;37.0;116.0;0.9959;2.99;0.39;10.8;6
Cabernet Sauvignon;6.4;0.18;0.74;11.9;48.83137127205461;832.79;320.34137127205463;271.51;0.046;54.0;168.0;0.9978;3.58;0.68;10.1;5
Merlot;7.6;0.39;0.22;2.8;54.56963918861688;946.03;386.2796391886168;331.71;0.036;19.0;113.0;0.9926;3.03;0.29;10.2;5
Merlot;7.6;0.56;0.12;10.4;33.50025048760495;660.6;199.2602504876049;165.76;0.096;22.0;177.0;0.9983;3.32;0.45;9.1;4
Pinot noir;6.1;0.38;0.47;1.4;18.97386470143016;1156.66;216.15386470143017;197.18;0.051;59.0;210.0;0.99309;3.24;0.5;9.6;5
Cabernet Sauvignon;7.2;0.24;0.27;1.4;31.71118895190669;473.96;134.05118895190668;102.34;0.038;31.0;122.0;0.9927;3.15;0.46;10.3;6
Merlot;5.9;0.28;0.39;1.4;78.72083575472294;887.88;321.03083575472294;242.31;0.031;47.0;147.0;0.98836;3.08;0.64;12.9;7
Merlot;7.3;0.655;0.2;10.2;74.03038980704295;1153.88;282.76038980704294;208.73;0.071;28.0;212.0;0.9971;2.96;0.58;9.2;6
Pinot noir;6.6;0.21;0.49;18.15;31.310079390612056;861.43;114.56007939061206;83.25;0.042;41.0;158.0;0.9997;3.28;0.39;8.7;6
Pinot noir;7.1;0.44;0.27;8.4;13.2367534981645;494.83;246.8467534981645;233.61;0.057;60.0;160.0;0.99257;3.16;0.36;11.8;6
Cabernet Sauvignon;10.0;0.23;0.27;14.1;19.66138105948112;1281.14;179.96138105948114;160.3;0.033;45.0;166.0;0.9988;2.72;0.43;9.7;6
Merlot;8.0;0.3;0.36;11.0;74.15657353627375;1073.5;347.82657353627377;273.67;0.034;8.0;70.0;0.99354;3.05;0.41;12.2;6
Pinot noir;4.8;0.34;0.0;6.5;51.90233034113457;385.67;373.43233034113456;321.53;0.028;33.0;163.0;0.9939;3.36;0.61;9.9;6
Chardonnay;7.0;0.36;0.3;5.0;9.869300678798654;952.06;224.44930067879864;214.58;0.04;40.0;143.0;0.99173;3.33;0.42;12.2;7
Gamay;5.1;0.21;0.28;1.4;72.77029306081867;1102.23;365.1602930608187;292.39;0.047;48.0;148.0;0.99168;3.5;0.49;10.4;1
Merlot;6.4;0.22;0.38;9.1;37.67830715639047;964.86;325.6783071563905;288.0;0.044;35.0;127.0;0.99326;2.97;0.3;11.0;7
Pinot noir;6.3;0.3;0.91;8.2;26.92477676583109;944.85;141.0547767658311;114.13;0.034;50.0;199.0;0.99394;3.39;0.49;11.7;6
Cabernet Sauvignon;6.6;0.24;0.35;7.7;91.67324876799547;637.22;295.1232487679955;203.45;0.031;36.0;135.0;0.9938;3.19;0.37;10.5;5
Merlot;6.7;0.17;0.42;10.4;13.54937294847366;837.51;256.99937294847365;243.45;0.038;85.0;182.0;0.99628;3.04;0.44;8.9;6
Cabernet Sauvignon;6.6;0.19;0.28;11.8;36.28882424768795;1051.06;333.538824247688;297.25;0.042;54.0;137.0;0.99492;3.18;0.37;10.8;6
Pinot noir;6.4;0.29;0.28;11.1;93.83191358037531;1291.31;374.0319135803753;280.2;0.063;66.0;169.0;0.9973;2.89;0.57;9.0;5
Cabernet Sauvignon;7.0;0.3;0.49;4.7;20.47319633848742;1254.81;254.0331963384874;233.56;0.036;17.0;105.0;0.9916;3.26;0.68;12.4;99
Gamay;6.8;0.44;0.37;5.1;58.380513089392124;803.62;422.32051308939214;363.94;0.047;46.0;201.0;0.9938;3.08;0.65;10.5;1
Chardonnay;7.0;0.12;0.29;10.3;37.98263277347779;861.53;278.6126327734778;240.63;0.039;41.0;98.0;0.99564;3.19;0.38;9.8;8
Chardonnay;7.3;0.41;0.29;1.8;83.38698160101006;1075.48;441.5369816010101;358.15;0.032;26.0;74.0;0.98889;2.96;0.35;13.0;8
Cabernet Sauvignon;7.0;0.3;0.38;14.9;98.4826562764516;1322.25;396.1026562764516;297.62;0.032;60.0;181.0;0.9983;3.18;0.61;9.3;7
Cabernet Sauvignon;6.3;0.17;0.32;4.2;68.99577903335755;891.83;397.9657790333576;328.97;0.04;37.0;117.0;0.99182;3.24;0.43;11.3;6
Merlot;6.2;0.355;0.35;2.0;68.66445632281258;700.77;346.0344563228126;277.37;0.046;31.0;95.0;0.98822;3.06;0.46;13.6;6
Chardonnay;5.3;0.16;0.39;1.0;46.03001602548773;1002.18;229.1600160254877;183.13;0.028;40.0;101.0;0.99156;3.57;0.59;10.6;6
Cabernet Sauvignon;5.9;0.42;0.36;2.4;18.06148263162796;1059.27;327.3414826316279;309.28;0.034;19.0;77.0;0.99184;3.25;0.48;10.9;5
Chardonnay;8.6;0.2;0.42;1.5;39.45039975416604;820.64;278.22039975416607;238.77;0.041;35.0;125.0;0.9925;3.11;0.49;11.4;7
Merlot;6.0;0.27;0.27;1.6;72.60886244199727;894.06;349.8688624419973;277.26;0.046;32.0;113.0;0.9924;3.41;0.51;10.5;7
Chardonnay;6.8;0.27;0.24;4.6;14.918936648557734;1327.78;233.8989366485577;218.98;0.098;36.0;127.0;0.99412;3.15;0.49;9.6;6
Merlot;6.7;0.23;0.39;2.5;6.219732833265301;1091.87;365.9997328332653;359.78;0.172;63.0;158.0;0.9937;3.11;0.36;9.4;6
Cabernet Sauvignon;7.7;0.34;0.27;8.8;2.4149982001400283;1112.71;294.83499820014003;292.42;0.063;39.0;184.0;0.9969;3.09;0.63;9.2;6
